Family,Instance_Name,core_count,memory_mb,AWS_Cost,Total_cost
m6g,m6g.large,2,8192,0.077,0.116
m7g,m7g.large,2,8192,0.0816,0.1296
m5a,m5a.large,2,8192,0.086,0.117
m6gd,m6gd.large,2,8192,0.0904,0.1294
m5,m5.large,2,8192,0.096,0.13
m6i,m6i.large,2,8192,0.096,0.134
m4,m4.large,2,8192,0.1,0.14
r6g,r6g.large,2,16384,0.1008,0.1508
m7gd,m7gd.large,2,8192,0.1068,0.1548
r7g,r7g.large,2,16384,0.1071,0.1701
m5d,m5d.large,2,8192,0.113,0.147
r5a,r5a.large,2,16384,0.113,0.154
r6gd,r6gd.large,2,16384,0.1152,0.1652
m6id,m6id.large,2,8192,0.11865,0.15665
m5n,m5n.large,2,8192,0.119,0.155
r6i,r6i.large,2,16384,0.126,0.177
r5,r5.large,2,16384,0.126,0.171
m5dn,m5dn.large,2,8192,0.136,0.177
r7gd,r7gd.large,2,16384,0.1361,0.1991
m6in,m6in.large,2,8192,0.13923,0.17723
r5d,r5d.large,2,16384,0.144,0.189
r5n,r5n.large,2,16384,0.149,0.194
r6id,r6id.large,2,16384,0.1512,0.2022
m6idn,m6idn.large,2,8192,0.15912,0.19712
m5zn,m5zn.large,2,8192,0.1652,0.2152
r5dn,r5dn.large,2,16384,0.167,0.219
i4i,i4i.large,2,16384,0.172,0.241
r6in,r6in.large,2,16384,0.17433,0.22533
r6idn,r6idn.large,2,16384,0.19539,0.24639
c6g,c6g.xlarge,4,8192,0.136,0.213
c7g,c7g.xlarge,4,8192,0.1445,0.2345
c6gd,c6gd.xlarge,4,8192,0.1536,0.2306
m6g,m6g.xlarge,4,16384,0.154,0.231
c5a,c5a.xlarge,4,8192,0.154,0.215
m7g,m7g.xlarge,4,16384,0.1632,0.2592
c5,c5.xlarge,4,8192,0.17,0.231
c6i,c6i.xlarge,4,8192,0.17,0.24
m5a,m5a.xlarge,4,16384,0.172,0.233
c5ad,c5ad.xlarge,4,8192,0.172,0.241
m6gd,m6gd.xlarge,4,16384,0.1808,0.2578
c7gd,c7gd.xlarge,4,8192,0.1814,0.2714
m5,m5.xlarge,4,16384,0.192,0.261
m6i,m6i.xlarge,4,16384,0.192,0.268
c5d,c5d.xlarge,4,8192,0.192,0.253
m4,m4.xlarge,4,16384,0.2,0.275
r6g,r6g.xlarge,4,32768,0.2016,0.3016
c6id,c6id.xlarge,4,8192,0.2016,0.2716
m7gd,m7gd.xlarge,4,16384,0.2136,0.3096
r7g,r7g.xlarge,4,32768,0.2142,0.3402
c5n,c5n.xlarge,4,10752,0.216,0.294
m5d,m5d.xlarge,4,16384,0.226,0.295
r5a,r5a.xlarge,4,32768,0.226,0.307
c6in,c6in.xlarge,4,8192,0.2268,0.2968
r6gd,r6gd.xlarge,4,32768,0.2304,0.3304
m6id,m6id.xlarge,4,16384,0.2373,0.3133
m5n,m5n.xlarge,4,16384,0.238,0.309
r6i,r6i.xlarge,4,32768,0.252,0.354
r5,r5.xlarge,4,32768,0.252,0.342
r4,r4.xlarge,4,31232,0.266,0.366
m5dn,m5dn.xlarge,4,16384,0.272,0.354
r7gd,r7gd.xlarge,4,32768,0.2722,0.3982
m6in,m6in.xlarge,4,16384,0.27846,0.35446
r5d,r5d.xlarge,4,32768,0.288,0.378
r5n,r5n.xlarge,4,32768,0.298,0.388
r6id,r6id.xlarge,4,32768,0.3024,0.4044
i3,i3.xlarge,4,31232,0.312,0.412
m6idn,m6idn.xlarge,4,16384,0.31824,0.39424
m5zn,m5zn.xlarge,4,16384,0.3303,0.4303
r5dn,r5dn.xlarge,4,32768,0.334,0.438
i4i,i4i.xlarge,4,32768,0.343,0.481
r6in,r6in.xlarge,4,32768,0.34866,0.45066
r6idn,r6idn.xlarge,4,32768,0.39078,0.49278
